date_time,product_id,amount,price
2022-10-01,102,33,142.49
2022-11-26,133,14,11.64
2021-11-28,198,50,31.36
2021-07-08,77,28,73.13
2022-06-13,231,36,73.32
2022-10-29,109,24,123.22
2022-01-16,242,42,68.45
2022-02-01,492,50,93.32
2022-04-28,314,47,103.1
2022-08-15,458,12,129.05
2022-10-18,458,43,149.91
2022-01-03,228,25,46.37
2021-10-19,409,36,116.07
2022-01-18,171,35,92.09
2021-06-23,47,17,121.57
2021-12-05,71,45,28.56
2021-05-20,235,11,0.89
2022-08-11,355,3,101.86
2022-01-06,154,4,119.61
2022-04-04,91,19,117.47
2021-03-08,141,23,99.92
2022-12-13,139,33,33.76
2022-07-03,312,44,131.37
2022-08-06,153,33,130.15
2021-09-24,472,28,95.62
2021-02-18,184,17,90.82
2022-08-03,331,47,92.81
2022-07-24,144,35,35.4
2021-10-22,312,31,106.02
2021-11-03,466,8,78.41
2022-07-18,190,44,148.79
2022-04-05,92,49,62.69
2021-05-16,383,26,75.34
2022-04-12,412,14,10.19
2021-05-29,262,42,17.06
2022-11-17,412,26,109.26
2022-07-31,453,32,87.1
2021-05-27,172,18,79.62
2022-08-03,268,46,101.18
2021-09-21,82,3,136.39
2021-09-09,453,28,12.93
2021-05-02,267,7,44.03
2022-05-26,13,30,2.21
2021-11-28,155,27,136.81
2021-08-17,343,46,47.7
2022-10-10,274,45,94.8
2021-08-07,469,18,91.49
2021-01-09,246,2,86.33
2022-02-18,143,6,57.5
2022-12-05,273,50,146.85
2021-05-02,40,12,141.99
2022-01-15,20,36,65.16
2021-11-30,45,32,147.37
2022-08-30,346,19,42.83
2021-03-27,349,49,134.86
2022-06-15,402,18,114.57
2022-12-02,75,33,70.33
2021-03-27,484,34,33.77
2022-11-19,143,5,123.72
2022-09-10,3,40,50.04
2022-06-23,193,23,46.62
2022-01-19,7,50,94.24
2021-04-11,24,18,95.0
2022-06-29,398,7,121.98
2022-07-19,154,48,92.01
2021-03-19,347,14,7.49
2022-03-30,414,27,66.33
2022-01-06,23,20,42.19
2021-06-17,197,21,88.58
2022-02-19,416,29,2.42
2021-07-29,25,18,42.6
2022-12-25,49,50,104.39
2021-10-13,295,15,32.76
2022-08-02,205,29,78.9
2021-10-24,314,48,48.0
2021-03-28,5,47,133.89
2022-07-04,224,38,137.76
2021-08-18,304,45,93.18
2021-01-29,217,7,14.29
2022-04-15,244,6,142.63
2021-09-24,452,1,79.22
2022-11-06,468,29,18.65
2021-08-28,317,45,78.3
2022-10-25,90,9,103.75
2022-04-21,410,15,37.41
2022-07-26,459,35,137.76
2021-05-17,170,28,61.59
2021-03-25,278,3,42.35
2021-01-05,55,49,5.58
2021-10-26,300,26,68.08
2022-04-20,1,6,30.54
2022-11-11,159,45,147.79
2021-05-24,98,21,79.95
2022-02-13,423,24,43.91
2022-10-12,204,1,115.03
2021-01-31,284,20,8.73
2021-03-15,23,47,58.69
2022-01-10,288,41,17.05
2022-02-28,136,50,3.66
2022-09-10,137,21,143.61
2021-02-02,238,6,25.89
2022-09-18,222,34,101.63
2022-11-12,267,50,123.52
2022-06-11,431,48,74.23
2021-08-04,395,46,85.84
2022-10-07,253,4,40.75
2021-11-05,281,47,145.0
2021-09-14,478,3,129.62
2021-08-14,263,47,14.13
2022-04-05,432,16,22.38
2022-12-22,135,50,74.5
2022-11-28,104,35,141.69
2021-06-15,228,22,43.81
2022-01-10,45,37,50.32
2022-04-04,365,27,103.26
2021-11-14,321,5,73.56
2022-02-18,457,34,35.92
2021-03-31,481,23,92.45
2021-07-01,481,20,119.91
2022-11-20,202,1,135.98
2021-06-18,282,22,62.66
2021-06-20,76,46,147.64
2022-05-19,267,38,78.64
2022-07-10,1,30,81.41
2022-09-30,235,20,26.98
2021-07-21,410,12,73.25
2022-09-10,77,1,80.56
2022-02-28,146,47,79.08
2022-11-16,309,37,124.63
2021-09-13,62,2,53.53
2022-03-26,385,4,133.27
2022-03-31,28,29,133.05
2022-03-23,88,11,109.41
2021-03-03,187,24,44.58
2021-05-20,43,43,28.68
2021-04-25,193,5,45.76
2021-10-02,276,23,49.77
2021-08-20,23,46,1.87
2022-09-08,425,25,1.85
2021-02-21,388,29,23.99
2022-07-28,247,2,5.09
2021-11-11,327,39,115.8
2021-03-25,161,35,51.83
2021-11-15,233,18,140.74
2021-05-30,296,47,81.14
2021-11-10,119,26,94.87
2022-07-23,214,6,52.26
2022-05-15,336,18,27.25
2021-02-10,460,16,21.8
2021-11-28,213,46,23.98
2021-05-03,257,49,121.09
2021-07-24,93,47,127.19
2021-07-28,89,48,122.39
2022-10-19,262,50,144.92
2021-02-21,90,16,64.89
2021-07-05,208,29,83.02
2022-05-31,421,7,33.47
2022-07-25,229,25,34.87
2021-09-29,191,31,121.84
2022-12-09,349,8,3.64
2022-03-02,274,26,117.66
2022-09-01,434,39,13.81
2021-12-21,330,49,84.42
2022-11-26,260,46,31.81
2021-03-07,65,49,97.43
2021-07-06,227,11,72.06
2021-12-12,12,40,70.09
2022-02-06,447,24,41.99
2022-09-13,366,2,63.59
2022-11-09,396,29,10.25
2022-04-26,218,11,46.24
2021-02-21,281,2,106.92
2021-11-13,381,35,72.44
2022-09-16,25,18,141.47
2022-02-13,139,33,44.3
2022-08-09,400,13,83.56
2022-03-23,324,24,36.61
2022-02-21,210,1,57.67
2021-04-13,466,38,71.89
2021-05-15,173,28,39.33
2022-08-21,280,27,44.26
2022-04-23,310,9,24.3
2021-06-11,446,31,122.79
2021-09-20,61,3,54.83
2021-09-25,266,4,69.86
2022-11-09,75,23,31.31
2021-08-26,115,14,29.94
2021-11-13,313,18,139.67
2022-04-21,405,49,47.37
2021-04-02,371,6,56.18
2021-09-17,496,38,52.45
2021-04-07,25,12,98.64
2022-10-23,98,17,136.57
2021-12-10,83,43,24.51
2022-10-18,476,5,48.92
2021-01-08,489,15,44.88
2021-01-04,143,42,67.46
2022-05-08,181,26,51.0
2021-08-20,413,7,7.78
2021-09-19,33,23,143.49
2021-03-13,390,14,120.03
2021-01-18,116,45,133.28
2022-08-08,397,21,115.96
2022-12-12,113,33,53.6
2021-03-18,166,12,65.23
2022-02-05,167,13,0.08
2021-09-16,476,30,87.09
