date_time,product_id,amount,price
2021-01-01,30,33,30.15
2021-01-01,52,35,63.02
2021-01-01,39,7,46.47
2021-01-01,8,50,9.57
2021-01-01,79,9,148.82
2021-01-01,39,21,1.52
2021-01-02,90,35,63.35
2021-01-02,19,49,97.65
2021-01-02,24,27,85.22
2021-01-02,3,36,25.68
2021-01-02,83,23,6.84
2021-01-03,40,24,32.24
2021-01-03,71,49,46.22
2021-01-03,59,5,102.19
2021-01-03,7,30,47.33
2021-01-04,18,35,51.99
2021-01-04,96,28,56.02
2021-01-04,94,48,87.76
2021-01-04,83,36,14.96
2021-01-04,74,8,138.68
2021-01-04,55,31,133.1
2021-01-04,17,6,81.59
2021-01-04,42,38,145.4
2021-01-04,42,14,121.57
2021-01-05,54,34,96.02
2021-01-05,67,10,6.47
2021-01-05,6,4,139.88
2021-01-05,64,14,62.36
2021-01-05,93,43,22.32
2021-01-05,94,6,53.48
2021-01-06,18,15,105.92
2021-01-06,21,21,99.05
2021-01-06,32,15,97.51
2021-01-06,66,42,104.82
2021-01-06,32,34,59.22
2021-01-06,23,47,134.98
2021-01-06,22,33,46.75
2021-01-07,58,30,9.6
2021-01-07,95,31,123.54
2021-01-07,52,26,59.67
2021-01-07,21,36,135.46
2021-01-07,11,25,17.33
2021-01-08,34,43,74.01
2021-01-08,59,23,43.17
2021-01-08,63,17,147.51
2021-01-08,87,35,103.07
2021-01-08,100,38,107.91
2021-01-08,18,17,42.17
2021-01-08,37,17,104.44
2021-01-08,63,44,27.62
2021-01-08,98,34,74.42
2021-01-08,70,40,38.19
2021-01-08,98,23,13.09
2021-01-08,60,39,93.06
2021-01-08,84,14,67.68
2021-01-09,19,39,136.63
2021-01-09,48,37,21.77
2021-01-09,91,34,46.45
2021-01-09,7,24,78.83
2021-01-09,90,4,62.3
2021-01-09,4,16,48.69
2021-01-09,96,50,101.04
2021-01-09,54,40,75.13
2021-01-09,26,25,14.27
2021-01-10,69,37,60.38
2021-01-10,15,31,30.15
2021-01-11,28,38,149.51
2021-01-11,6,32,7.28
2021-01-11,95,20,48.58
2021-01-11,71,12,63.26
