year,era,num_equipos,media_puntos_ajustados,std_puntos_ajustados,cv
1994,Era de la Seguretat i l'Evolució Analògica,14,19.762456578777293,24.396245098908928,1.2344743175859936
1995,Era de la Seguretat i l'Evolució Analògica,13,26.575651249147562,36.766051618876936,1.3834487544329226
1996,Era de la Seguretat i l'Evolució Analògica,11,29.535087442437657,44.13125070202378,1.494197394473041
1997,Era de la Seguretat i l'Evolució Analògica,12,27.609122646931453,31.17631266886481,1.1292033096288854
1998,Era de la Seguretat i l'Evolució Analògica,11,30.442230747554234,40.79638771884311,1.3401247778834584
1999,Era de la Seguretat i l'Evolució Analògica,11,27.696836680292563,36.141145641954196,1.3048835164511803
2000,Era de la Seguretat i l'Evolució Analògica,11,32.18980042456993,51.73504503436302,1.6071875051103
2001,Era de la Seguretat i l'Evolució Analògica,11,30.399713595126492,40.69756292492818,1.3387482351627344
2002,Era de la Seguretat i l'Evolució Analògica,11,32.00343277599701,50.29945360099455,1.5716893232378433
2003,Era de la Seguretat i l'Evolució Analògica,10,50.10169266765898,51.84417689403238,1.0347789492449262
2004,Era de la Seguretat i l'Evolució Analògica,10,55.53206058673318,66.40934523396821,1.1958739605969826
2005,Era de la Seguretat i l'Evolució Analògica,10,56.61715595828879,49.242356212067314,0.8697426668401594
2006,Era de la Seguretat i l'Evolució Analògica,12,46.718024375114915,58.87882570321197,1.2603021315810328
2007,Era de la Seguretat i l'Evolució Analògica,11,54.53548931821706,74.1906434263135,1.3604103374484773
2008,Era de la Seguretat i l'Evolució Analògica,11,51.264542215569755,51.609992101982364,1.0067385735146133
2009,Era de l'Eficiència Aerodinàmica,10,52.51397309409292,50.76451738687796,0.9666859008348058
2010,Era de l'Eficiència Aerodinàmica,12,135.30090504383526,167.74328812165635,1.2397794979073518
2011,Era de l'Eficiència Aerodinàmica,12,132.92056798792254,181.0815715293744,1.3623292036024695
2012,Era de l'Eficiència Aerodinàmica,12,139.00487912562247,135.99571358008802,0.9783520868874324
2013,Era de l'Eficiència Aerodinàmica,11,137.52671638985217,150.50679073750172,1.0943822021523035
2014,Era Híbrida Inicial,11,153.40192765195295,190.47186774651203,1.2416523746602812
2015,Era Híbrida Inicial,10,167.48853197898973,190.33539804699282,1.136408539725389
2016,Era Híbrida Inicial,11,172.77503240686002,230.78804556737032,1.3357719709402114
2017,Era de la Màxima Càrrega Aerodinàmica,10,175.7808257384581,201.96694712214835,1.1489702945340137
2018,Era de la Màxima Càrrega Aerodinàmica,10,176.30159693026548,194.83398901675298,1.1051175508853606
2019,Era de la Màxima Càrrega Aerodinàmica,10,180.65040833197708,215.2577815694164,1.1915709660276115
2020,Era de la Màxima Càrrega Aerodinàmica,10,134.79488883639232,129.75309509722774,0.9625965510807752
2021,Era de la Màxima Càrrega Aerodinàmica,10,179.07033294743175,167.68249098165458,0.9364057586852189
2022,Era del Nou Efecte Terra,10,191.83520733965446,216.9541721470315,1.1309403271470526
2023,Era del Nou Efecte Terra,10,179.3076368935661,183.5742690829838,1.0237950388691492
2024,Era del Nou Efecte Terra,10,203.57606456687535,217.08404954456503,1.0663535028365394
